https://www.CryptoDataDownload.com,,,,,,,,,
unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount
1.62577E+12,2021/7/8 19:00,BTC/USDT,32840.92,33177.06,32641.36,33003.52,2478.827458,81615981.22,58981
1.62577E+12,2021/7/8 18:00,BTC/USDT,32863.83,32943.21,32749.18,32840.91,1094.481114,35924891.24,25581
1.62576E+12,2021/7/8 17:00,BTC/USDT,32901.88,33038.88,32783.54,32863.83,1982.16843,65207825.29,34725
1.62576E+12,2021/7/8 16:00,BTC/USDT,32900.05,32958,32646.14,32901.88,2138.342974,70184007.77,40233
1.62576E+12,2021/7/8 15:00,BTC/USDT,32772.46,32930,32703.35,32900.01,2522.750352,82812967.07,44748
1.62575E+12,2021/7/8 14:00,BTC/USDT,32505.92,32800,32477.96,32772.46,2494.810351,81445694.22,39816
1.62575E+12,2021/7/8 13:00,BTC/USDT,32604.73,32662.67,32350,32505.91,2397.629694,77961163.51,43275
1.62575E+12,2021/7/8 12:00,BTC/USDT,32696.43,32988.87,32484.59,32604.72,3098.764031,101486850.9,52129
1.62574E+12,2021/7/8 11:00,BTC/USDT,32486.43,32744.89,32077,32696.44,5820.078332,187977026.8,81413
1.62574E+12,2021/7/8 10:00,BTC/USDT,32570.12,32748.88,32447.32,32486.42,2354.448698,76772022.81,41689
1.62573E+12,2021/7/8 09:00,BTC/USDT,32570.54,32700,32425.2,32570.13,2719.299782,88596750.94,48545
1.62573E+12,2021/7/8 08:00,BTC/USDT,32487.56,32618.25,32231.92,32570.53,4128.844168,133909271.4,73309
1.62573E+12,2021/7/8 07:00,BTC/USDT,33096.85,33260.8,32242.07,32487.57,7911.858575,258770005.3,116162
1.62572E+12,2021/7/8 06:00,BTC/USDT,32880.97,33512.53,32857.09,33096.72,3536.856991,117571352.8,62276
1.62572E+12,2021/7/8 05:00,BTC/USDT,33300.76,33349.98,32850,32884.56,2998.701537,99356734.66,55411
1.62572E+12,2021/7/8 04:00,BTC/USDT,33305.66,33375.15,33151.22,33300.76,1874.918709,62326060.71,39528
1.62571E+12,2021/7/8 03:00,BTC/USDT,33379.95,33435,33066,33305.65,2673.565704,88914752.64,50396
1.62571E+12,2021/7/8 02:00,BTC/USDT,33300.48,33414.75,33275.94,33379.95,1520.915874,50710503.96,30982
1.62571E+12,2021/7/8 01:00,BTC/USDT,33210.46,33452,33185,33300.48,3002.027105,100092779.6,51035
1.6257E+12,2021/7/8 00:00,BTC/USDT,33862.11,33929.64,33103.72,33210.45,6944.323489,232230102.1,126753
1.6257E+12,2021/7/7 23:00,BTC/USDT,34164.98,34164.99,33777.77,33862.12,3208.141938,108860087.9,55738
1.6257E+12,2021/7/7 22:00,BTC/USDT,34241.15,34292.41,34059.71,34164.99,1541.795856,52695503.54,33296
1.62569E+12,2021/7/7 21:00,BTC/USDT,34535.44,34538.58,34112.5,34239.86,2294.885623,78733115.86,50853
1.62569E+12,2021/7/7 20:00,BTC/USDT,34628.71,34628.71,34490,34535.45,878.927631,30367220.9,23987
1.62568E+12,2021/7/7 19:00,BTC/USDT,34681.41,34748.37,34545.35,34628.72,1289.522949,44670911.61,30458
1.62568E+12,2021/7/7 18:00,BTC/USDT,34635.01,34784,34556.28,34681.41,1699.083207,58979744.29,33934
1.62568E+12,2021/7/7 17:00,BTC/USDT,34571.37,34689.29,34470,34635.01,1243.169797,42969587.83,28690
1.62567E+12,2021/7/7 16:00,BTC/USDT,34528.6,34629.96,34412.43,34571.38,1574.335915,54383687.38,37543
1.62567E+12,2021/7/7 15:00,BTC/USDT,34616.6,34696.64,34477.13,34528.6,2098.341327,72557991.02,42558
