https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount
1636563600000,2021-11-10 17:00:00,BTC/USDT,68524.70000000,68775.51000000,68451.19000000,68633.69000000,1866.42621000,128017274.10908170,80652
1636560000000,2021-11-10 16:00:00,BTC/USDT,68349.42000000,68775.07000000,68343.81000000,68524.69000000,2798.59629000,191874137.97184130,100958
1636556400000,2021-11-10 15:00:00,BTC/USDT,68382.70000000,68500.00000000,68163.65000000,68348.63000000,2227.80843000,152288640.68584410,82000
1636552800000,2021-11-10 14:00:00,BTC/USDT,67983.45000000,69000.00000000,67879.79000000,68382.69000000,5399.44077600,369466086.93585652,224584
1636549200000,2021-11-10 13:00:00,BTC/USDT,66396.98000000,68000.00000000,65888.00000000,67983.45000000,4830.09625000,323913338.62166220,158364
1636545600000,2021-11-10 12:00:00,BTC/USDT,66546.81000000,66961.32000000,66250.00000000,66396.98000000,1791.08759000,119242504.78542580,62653
1636542000000,2021-11-10 11:00:00,BTC/USDT,66779.69000000,66904.60000000,66535.01000000,66546.80000000,1351.30629000,90189510.03778950,54608
1636538400000,2021-11-10 10:00:00,BTC/USDT,66684.98000000,67099.00000000,66645.18000000,66779.70000000,1238.83615000,82845354.22284940,47297
1636534800000,2021-11-10 09:00:00,BTC/USDT,66612.15000000,66846.90000000,66546.94000000,66684.98000000,961.98373000,64149745.84638340,38216
1636531200000,2021-11-10 08:00:00,BTC/USDT,66426.42000000,66857.03000000,66357.00000000,66612.15000000,1250.31052000,83304142.63461960,49983
1636527600000,2021-11-10 07:00:00,BTC/USDT,66518.23000000,66750.11000000,66299.29000000,66426.43000000,1364.88473000,90817419.21094440,51848
1636524000000,2021-11-10 06:00:00,BTC/USDT,66342.74000000,66625.99000000,66233.00000000,66518.23000000,1279.67927000,85023597.09654620,45518
1636520400000,2021-11-10 05:00:00,BTC/USDT,66641.16000000,66653.54000000,66286.70000000,66342.74000000,919.30055000,61084599.76424150,34235
1636516800000,2021-11-10 04:00:00,BTC/USDT,66487.23000000,66672.78000000,66255.55000000,66641.17000000,1200.92860000,79822376.09485650,49081
1636513200000,2021-11-10 03:00:00,BTC/USDT,66815.32000000,66815.32000000,66355.05000000,66487.23000000,1715.13347000,114067076.61941130,59701
1636509600000,2021-11-10 02:00:00,BTC/USDT,67018.37000000,67185.62000000,66787.70000000,66815.32000000,804.25344000,53875261.29764980,30448
1636506000000,2021-11-10 01:00:00,BTC/USDT,66996.81000000,67300.00000000,66853.27000000,67018.36000000,870.28293000,58388965.04762620,37981
1636502400000,2021-11-10 00:00:00,BTC/USDT,66947.67000000,67378.70000000,66763.56000000,66996.82000000,1831.00518000,122790706.66821090,56458
1636498800000,2021-11-09 23:00:00,BTC/USDT,67292.72000000,67436.94000000,66736.23000000,66947.66000000,971.37090000,65202793.87659040,39713
