date,timestamp,metal,exchange,currency,price,prev_close_price,ch,chp
2021-06-18,1624008600000,XAU,LBMA,USD,1792.35,1806.75,-14.4,-0.8034
2021-06-19,1624095000000,XAU,LBMA,USD,1792.35,1792.35,0.0,0.0
2021-06-20,1624181400000,XAU,LBMA,USD,1792.35,1792.35,0.0,0.0
2021-06-21,1624267800000,XAU,LBMA,USD,1782.45,1792.35,-9.9,-0.5554
2021-06-22,1624354200000,XAU,LBMA,USD,1779.1,1782.45,-3.35,-0.1883
2021-06-23,1624440600000,XAU,LBMA,USD,1782.9,1779.1,3.8,0.2131
2021-06-24,1624527000000,XAU,LBMA,USD,1780.2,1782.9,-2.7,-0.1517
2021-06-25,1624613400000,XAU,LBMA,USD,1783.25,1780.2,3.05,0.171
2021-06-26,1624699800000,XAU,LBMA,USD,1783.25,1783.25,0.0,0.0
2021-06-27,1624786200000,XAU,LBMA,USD,1783.25,1783.25,0.0,0.0
2021-06-28,1624872600000,XAU,LBMA,USD,1774.25,1783.25,-9.0,-0.5073
2021-06-29,1624959000000,XAU,LBMA,USD,1769.6,1774.25,-4.65,-0.2628
2021-06-30,1625045400000,XAU,LBMA,USD,1757.8,1769.6,-11.8,-0.6713
2021-07-01,1625131800000,XAU,LBMA,USD,1774.0,1757.8,16.2,0.9132
2021-07-02,1625218200000,XAU,LBMA,USD,1783.5,1774.0,9.5,0.5327
2021-07-03,1625304600000,XAU,LBMA,USD,1783.5,1783.5,0.0,0.0
2021-07-04,1625391000000,XAU,LBMA,USD,1783.5,1783.5,0.0,0.0
2021-07-05,1625477400000,XAU,LBMA,USD,1790.95,1783.5,7.45,0.416
2021-07-06,1625563800000,XAU,LBMA,USD,1807.8,1790.95,16.85,0.9321
2021-07-07,1625650200000,XAU,LBMA,USD,1804.25,1807.8,-3.55,-0.1968
2021-07-08,1625736600000,XAU,LBMA,USD,1810.25,1804.25,6.0,0.3314
2021-07-09,1625823000000,XAU,LBMA,USD,1803.4,1810.25,-6.85,-0.3798
2021-07-10,1625909400000,XAU,LBMA,USD,1803.4,1803.4,0.0,0.0
2021-07-11,1625995800000,XAU,LBMA,USD,1803.4,1803.4,0.0,0.0
2021-07-12,1626082200000,XAU,LBMA,USD,1802.95,1803.4,-0.45,-0.025
2021-07-13,1626168600000,XAU,LBMA,USD,1807.85,1802.95,4.9,0.271
2021-07-14,1626255000000,XAU,LBMA,USD,1813.05,1807.85,5.2,0.2868
2021-07-15,1626341400000,XAU,LBMA,USD,1832.0,1813.05,18.95,1.0344
2021-07-16,1626427800000,XAU,LBMA,USD,1822.0,1832.0,-10.0,-0.5488
