pubDateTime,title
2021-11-16 06:30:25,Riot Blockchain本季度比特幣產量增加482%
2021-11-16 02:00:13,Marathon Digital到與其比特幣挖礦數據中心Hardin Data Center有關的傳票
2021-11-16 01:20:07,VanEck比特幣期貨ETF將於11/16上市 全美價格最低
2021-11-16 01:19:13,億萬富翁：元宇宙可以投資 而且規模非常大
2021-11-15 23:30:41,加拿大比特幣礦商Bitfarms將算力翻倍至超過2 EH/s
2021-11-15 23:00:32,衍生品交易公司Bitnomial在美國推出保證金、實物結算的比特幣期貨
2021-11-15 21:30:54,比特幣挖礦公司Marathon計劃籌集5億美元購買比特幣和礦機
2021-11-15 15:15:07,印度神童4大預言都成真 警告下月起有3大災難
2021-11-15 13:01:02,Skybridge Capital創始人：比特幣未來將漲至50萬美元，現在入場仍處於早期
2021-11-15 08:30:51,比特幣網路難度上調至22.67T，已連續九次上調
2021-11-15 08:00:18,資管公司 VanEck 比特幣期貨 ETF 將於 11 月 16 日在 CBOE 交易所上市，比特幣現貨 ETF 申請被拒絕
2021-11-15 06:00:18,交易員Peter Brandt：比特幣人應該「反對美國的現貨比特幣ETF」
2021-11-15 05:30:50,VanEck將於下周二推出比特幣期貨ETF「XBTF」
2021-11-15 03:30:21,數據：比特幣閃電網路節點數量為30069個年增率增長7.44%
2021-11-14 23:01:02,數據：比特幣挖礦難度上調 4.69% 至 22.67T
2021-11-14 23:00:35,數據：比特幣挖礦難度上調4.69%至22.67T
2021-11-14 21:30:14,推特CEO Jack Dorsey發推「709632」關注比特幣Taproot升級
2021-11-14 13:30:29,數據：比特幣已達到Taproot升級的激活塊高709632
2021-11-14 13:30:28,比特幣已激活 Taproot 軟分叉升級
2021-11-14 11:30:27,距離比特幣Taproot升級還剩17個區塊
2021-11-14 09:00:38,印度國大黨領導人指責總理領導的人民黨政府曾掩蓋一起大型比特幣騙局
2021-11-14 07:01:07,CME比特幣期貨11月合約收報64185美元
2021-11-14 04:30:39,數據：比特幣閃電網路節點數量為30069個 年增率增長7.44%
2021-11-14 03:30:34,印度國會領導人指責總理掩蓋比特幣騙局
2021-11-14 01:00:57,對沖基金Citadel創始人：以太坊最終會取代比特幣
